frequency,recency,T,monetary_value,clv
5.0,328.0,328.0,700.054,3971.200070376366
3.0,283.0,319.0,476.74666666666667,1972.172095283137
5.0,224.0,257.0,217.86599999999999,1488.829025640934
1.0,80.0,286.0,2271.62,4471.3245908874915
4.0,274.0,292.0,1306.865,6946.865197625738
2.0,148.0,161.0,809.14,4467.411023815245
9.0,253.0,256.0,432.5211111111111,4686.739384602188
1.0,133.0,203.0,252.9,894.9162611784668
2.0,72.0,73.0,189.43,1656.849768466154
3.0,309.0,321.0,869.1,3588.7584579822287
1.0,15.0,20.0,360.0,3738.827400145957
2.0,225.0,257.0,391.17,1547.6231208031236
1.0,39.0,315.0,626.6,713.1326406540117
2.0,89.0,131.0,426.12,2639.4313795278235
3.0,139.0,146.0,357.53999999999996,2610.770338265879
3.0,61.0,80.0,410.63000000000005,4189.238017648537
5.0,168.0,313.0,347.97200000000004,1828.154919345975
1.0,29.0,327.0,258.9,235.8711136294361
4.0,251.0,287.0,592.5525,3183.6535779338874
3.0,260.0,293.0,387.0,1712.7900125735619
1.0,154.0,178.0,891.4,3583.0392508807736
10.0,305.0,332.0,188.235,1814.7390593194218
3.0,142.0,222.0,326.19,1731.449669050724
4.0,215.0,225.0,247.265,1606.6480856003423
5.0,162.0,221.0,292.158,2201.6145655834052
3.0,104.0,143.0,1616.6166666666668,11766.997852614766
2.0,95.0,130.0,356.19,2230.5841144139827
3.0,271.0,298.0,166.65,731.8732338183848
2.0,93.0,271.0,204.325,641.6982697529261
13.0,272.0,298.0,9035.176923076924,118537.39230247453
9.0,318.0,318.0,313.22444444444443,2870.557832092631
2.0,205.0,280.0,198.015,725.260212595175
2.0,229.0,285.0,327.93,1191.3502795353538
7.0,255.0,314.0,222.22142857142856,1661.2946328320756
2.0,311.0,332.0,112.815,371.48222862479014
8.0,175.0,244.0,312.455,3091.1561744285714
2.0,193.0,326.0,781.69,2441.182545228677
14.0,313.0,334.0,389.7642857142857,4995.718803982045
2.0,130.0,133.0,871.33,5451.710658035381
3.0,330.0,334.0,1991.5833333333333,7970.471612731831
3.0,276.0,321.0,259.4633333333333,1068.1359721577999
1.0,188.0,228.0,3850.9,12845.365433133567
11.0,288.0,292.0,281.11090909090905,3258.9491297525847
3.0,113.0,132.0,1103.9166666666667,8532.229359902702
2.0,96.0,148.0,973.315,5538.812632078152
1.0,17.0,134.0,101.88,363.5286532080203
3.0,259.0,285.0,1785.6899999999998,8066.294714601645
5.0,223.0,257.0,440.492,3004.3706609347532
3.0,210.0,215.0,1060.3466666666666,5938.590937528152
8.0,181.0,200.0,240.94125,2835.8374284340057
1.0,213.0,245.0,505.48,1620.8463891832032
1.0,60.0,115.0,626.88,3127.227200501073
5.0,195.0,202.0,191.812,1572.3113814060043
4.0,203.0,270.0,141.6625,792.4045299549842
2.0,173.0,277.0,107.545,392.03036379732055
31.0,329.0,333.0,428.18,11415.76329640321
9.0,322.0,334.0,680.8177777777778,5988.753681885653
3.0,138.0,152.0,723.86,5131.7089426710545
21.0,322.0,329.0,286.5566666666667,5366.654116107507
10.0,316.0,322.0,472.899,4679.589654000338
7.0,255.0,272.0,1583.3600000000001,13349.40525433008
2.0,193.0,297.0,664.35,2273.2637940312875
7.0,300.0,326.0,585.1857142857143,4280.023226219566
8.0,299.0,300.0,213.97625,1866.5217670514908
5.0,269.0,297.0,725.33,4432.542830739967
1.0,36.0,36.0,214.06,1949.7663220552922
5.0,236.0,290.0,503.354,3113.32792211545
1.0,42.0,66.0,126.39000000000001,896.3132715920285
2.0,32.0,158.0,92.14500000000001,413.9257567990048
8.0,325.0,326.0,110.17875000000001,901.7381894255509
8.0,284.0,294.0,420.13,3715.7499910266156
4.0,214.0,270.0,776.655,4342.879303246747
2.0,164.0,259.0,629.03,2388.4713253360046
1.0,183.0,286.0,301.52,813.4881446297998
1.0,28.0,73.0,612.29,3856.523801966957
1.0,103.0,141.0,728.86,3348.355844186812
2.0,117.0,151.0,594.475,3390.740596540703
2.0,52.0,71.0,424.865,3703.8031134440625
5.0,194.0,234.0,319.018,2329.2254242507493
1.0,12.0,12.0,103.32,1204.0263017044092
9.0,288.0,292.0,154.2888888888889,1513.5532325280085
6.0,270.0,294.0,513.9316666666667,3623.2114318906683
1.0,41.0,55.0,519.28,3955.3378586021076
2.0,244.0,286.0,108.09500000000003,397.98113745469954
6.0,249.0,273.0,212.69500000000002,1590.2578707669343
4.0,277.0,297.0,309.0575,1624.3889575311316
1.0,95.0,147.0,344.9,1522.19786748598
2.0,71.0,294.0,542.995,1311.2717075757678
16.0,309.0,322.0,722.38,10742.886912319826
1.0,107.0,241.0,223.74,629.1252249930974
1.0,184.0,220.0,372.24,1288.6390354647733
2.0,31.0,38.0,580.75,6497.695617221875
1.0,83.0,241.0,48.4,131.9116513766363
9.0,271.0,290.0,282.6211111111111,2778.595579896395
1.0,101.0,112.0,290.81,1588.9185165145277
3.0,213.0,332.0,2793.6533333333336,10785.726183483719
1.0,9.0,280.0,486.11,427.11306396478557
2.0,43.0,104.0,55.69,391.2559870443112
4.0,142.0,159.0,464.3675,3826.524701653894
1.0,7.0,249.0,145.92,161.62977027215203
7.0,273.0,330.0,903.8442857142857,6494.732292049783
17.0,208.0,213.0,146.11882352941177,3147.6459829600008
1.0,82.0,82.0,271.26,1771.1957497295082
4.0,209.0,265.0,193.225,1099.4975155030309
2.0,22.0,299.0,787.58,861.9529303086694
1.0,50.0,249.0,205.16,410.1022372669321
14.0,317.0,334.0,318.8957142857143,4090.6299745484116
10.0,240.0,241.0,108.662,1348.5737333583475
3.0,117.0,312.0,679.6166666666667,2289.1221358152807
1.0,21.0,172.0,9864.26,25591.845398136677
1.0,121.0,174.0,231.8,927.1595358059549
2.0,110.0,179.0,166.15,833.2342504775736
7.0,276.0,283.0,455.9057142857143,3736.4785215983366
1.0,191.0,203.0,348.32,1298.8971502743154
2.0,228.0,229.0,1346.3,5830.029765969412
4.0,213.0,245.0,406.775,2467.126193134002
5.0,178.0,265.0,135.348,879.7908775357139
9.0,287.0,332.0,197.05777777777777,1733.1340594101773
5.0,143.0,293.0,100.292,531.4315326609548
